場站編號,站名,金額（土木施工費用）
500105077,試院公園,"5,892"
500112094,吳興街284巷(廣安宮),"5,892"
500109084,崇仰公園(公?路255巷),"5,892"
500101150,捷運忠孝新生站(4號出口),"7,788"
500108140,臺北花市,"5,892"
500111086,東新街63巷口,"5,892"
500101217,捷運大安站(5號出口),"5,892"
500101218,臨江公園,"5,892"
500104117,美崙公園(東北側),"5,892"
500110078,捷運南京三民站(3號出口),"5,892"
500101219,羅斯福路四段113巷19弄口,"4,944"
500106115,臺灣文學基地,"5,892"
500106114,仁愛金山路口(東南側),"5,892"
500104116,天母東路8巷/忠誠路二段154巷口,"4,944"
500105080,萬美萬安街口,"5,892"
500106113,濟南路二段8巷口,"5,892"
500107137,中山北路二段62巷口,"5,892"
500109085,北投文化公園(北側),"5,892"
500104115,臺北市立大學(忠誠路二段207巷),"6,452"
500110079,塔悠基隆路口(麥帥一橋下),"6,452"
500112097,和平東路三段291號,"5,364"
500105081,興隆路二段203巷(敦南),"7,540"
500106116,重慶南詔安街口,"6,452"
500108142,康寧路三段99巷17弄口,"6,452"
500105082,新光秀明路口,"6,453"
500108145,致伸科技大樓,"6,453"
500108148,瑞湖公園,"6,453"
500108150,台灣世曦大樓,"6,453"
500108156,民權東路六段56巷口,"6,453"
500108158,新湖三新湖二146巷口,"6,453"
500108159,舊宗新湖二路口,"6,453"
500108144,海德堡科技大樓,"6,453"
500108162,北勢湖環保公園(堤頂大道側),"6,453"
500108161,內湖路一段120巷15弄,"6,453"
500106117,文光公園,"6,453"
500106118,捷運中正紀念堂站(2號出口),"6,453"
500106119,螢圃里小公園,"6,453"
500106120,螢橋公園,"6,453"
500108141,行善社會住宅,"56,580"
500108143,堤頂大道二段407巷口,"40,702"
500108146,內湖路一段288巷口,"58,859"
500108147,大都會客運內湖站,"37,376"
500108153,大港墘公園(洲子街),"41,409"
500108157,新湖三行忠路72巷口,"36,039"
500101221,忠孝東路四段248巷口,"6,418"
500101222,仁愛延吉路口(西北側),"6,418"
500108151,遠雄時代總部,"6,418"
500108152,瑞光路358巷口,"6,418"
500108154,世紀經貿,"6,418"
500108164,達爾文大樓,"6,418"
500107138,市民安東街口,"6,418"
500110080,五常街370巷,"6,418"
500107139,市民大道二段5巷口,"6,418"
500108160,新光基湖大樓,"41,149"
500101223,樂利路101巷口,"6,418"
500101224,羅斯福浦城街口,"6,418"
500113069,莒光社會住宅,"6,840"
500101225,敦化南路一段295巷口,"6,416"
500106121,泉州寧波西街口,"7,944"
500108165,東湖四號公園,"6,855"
500109086,中和綠地,"6,855"
500111087,中興公園,"6,855"
500101228,仁愛大安路口(東北側),"6,855"
500104118,福安河濱公園,"6,852"
500108168,捷運西湖站(1號出口)內湖路側,"6,852"
500109087,大業路65巷口,"60,884"
500107140,捷運中山站(3號出口),"7,940"
500109088,公?承德路口,"6,852"
500105083,光輝路134巷口,"6,852"
500105084,光輝公園,"6,852"
500101226,通安區民活動中心,"6,861"
500101227,復興忠孝東路口(東南側),"67,379"
500112099,廣慈博愛園區(西側),"104,320"
500103064,大同行政中心,"6,861"
500110081,延壽街119巷口,"6,861"
500112098,永吉路468巷口,"6,861"
500101229,臺灣師範大學(浦城街),"46,595"
500105079,樟樹公園,"6,861"
500105085,木新公園,"6,861"
500105086,興隆路二段275巷1弄口,"6,861"
500108166,加瑪科技中心,"6,861"
500108167,福壽公園,"6,861"
500104119,忠誠忠義街口(北側),"5,759"
500104120,忠誠忠義街口(南側),"5,759"
500110083,民福簡易綠地,"5,759"
500107142,朱崙公園,"5,759"
500110082,市民東寧路口,"5,759"
500113074,和平西路二段190巷口,"5,759"
500112100,和平東路三段341巷口,"5,759"
500112101,革新公園,"4,672"
500112102,黎雙公園,"4,672"
500112103,臺北文化體育園區辦公大樓,"7,931"
500112104,捷運國父紀念館站(5號出口),"6,845"
500112105,光復南菸廠路口,"6,845"
500107141,建國北路高架橋下停車場G區,"51,111"
500108169,威剛科技總部,"7,961"
500105087,中國科技大學,"7,961"
500108170,太陽科技廣場,"6,869"
500103065,大龍市場,"6,861"
500110084,三民國小(撫遠街),"6,861"
